Video File :C:\Users\CPL\Downloads\video.mp4
Background :C:\Users\CPL\Downloads\video.BMP
Arena File :C:\USERS\CPL\DESKTOP\DATA\CleverSys_1.TCG
Arena   ID :1

Video Width :352
Video Height:198
Frame Rate  :25.000000

Frame From  :4
Frame   To  :242

Begin Time  :     0.16(s)
End   Time  :     9.68(s)
Record Num  :239

Attributes:
Last Modified Date	
12/04/2020 23:30:27	

Arena Bounding Box(mm): Left :132	 Right :224	 Top :53	 Bottom :145

Format: FrameNum CenterX(mm) CenterY(mm) NoseX(mm) NoseY(mm)  Motion Orientation(-pi/2 to pi/2) Axis[0](mm) Axis[1](mm) TurningAngleSum DistanceSum(mm) Center_Areas  Nose_Areas

4    176.46403162413324    99.2563247494167    176.46403162413324    99.2563247494167    0.000000   -3.091964   10   1   0.000000   0.000000   CenterArea,   ##  CenterArea, 
5    176.57801086532106    99.54609140409748    176.57801086532106    99.54609140409748    0.192157   -3.092509   10   1   0.031214   0.000000   CenterArea,   ##  CenterArea, 
6    176.56448666343962    99.89747741377478    176.56448666343962    99.89747741377478    0.062745   -3.090051   9   1   -0.109638   0.000000   CenterArea,   ##  CenterArea, 
7    176.40317431810143    100.26248712972405    176.40317431810143    100.26248712972405    0.062745   2.947201   17   3   13.981233   0.000000   CenterArea,   ##  CenterArea, 
8    176.09024549455765    100.58779887861954    176.09024549455765    100.58779887861954    0.290196   2.965002   17   3   12.961322   0.000000   CenterArea,   ##  CenterArea, 
9    175.63946028222063    100.82005514959151    175.63946028222063    100.82005514959151    0.372549   2.972871   18   3   12.510434   0.000000   CenterArea,   ##  CenterArea, 
10    175.08167948300283    100.91131657079887    175.08167948300283    100.91131657079887    0.568627   3.118500   25   3   4.166550   0.000000   CenterArea,   ##  CenterArea, 
11    174.4627637104573    100.8242028474482    174.4627637104573    100.8242028474482    0.376471   3.099849   29   4   5.235147   0.000000   CenterArea,   ##  CenterArea, 
12    173.8400016287052    100.53626175178111    173.8400016287052    100.53626175178111    0.423529   3.128351   26   4   3.602089   0.000000   CenterArea,   ##  CenterArea, 
13    173.27733580668755    100.04316268269724    173.27733580668755    100.04316268269724    0.137255   -3.131588   26   4   2.270287   0.000000   CenterArea,   ##  CenterArea, 
14    172.83976112937012    99.36040032393657    172.83976112937012    99.36040032393657    0.047059   -3.139214   26   4   2.707214   0.000000   CenterArea,   ##  CenterArea, 
15    172.58734883016237    98.52330996503508    172.58734883016237    98.52330996503508    0.207843   -3.084500   26   4   -0.427666   0.000000   CenterArea,   ##  CenterArea, 
16    172.56939241123342    97.5853303868036    172.56939241123342    97.5853303868036    0.105882   3.134408   25   4   3.255034   0.000000   CenterArea,   ##  CenterArea, 
17    172.8191760298658    96.61459260869796    172.8191760298658    96.61459260869796    0.725490   3.140311   19   4   2.916857   0.000000   CenterArea,   ##  CenterArea, 
18    173.34983031437037    95.68905224137214    173.34983031437037    95.68905224137214    0.286275   -3.128326   17   3   2.083386   0.000000   CenterArea,   ##  CenterArea, 
19    174.1516670467762    94.89050873571507    174.1516670467762    94.89050873571507    0.435294   -3.018701   13   3   -4.197685   0.000000   CenterArea,   ##  CenterArea, 
20    175.1912776630673    94.29795640855522    175.1912776630673    94.29795640855522    0.760784   -3.017238   4   2   -4.281532   0.000000   CenterArea,   ##  CenterArea, 
21    176.41254863163613    93.98078135162363    176.41254863163613    93.98078135162363    0.600000   3.081962   6   1   6.260003   0.000000   CenterArea,   ##  CenterArea, 
22    177.73959910820798    93.99234910575339    177.73959910820798    93.99234910575339    0.600000   3.124928   9   1   3.798252   0.000000   CenterArea,   ##  CenterArea, 
23    179.08149384603013    94.36451702648606    179.08149384603013    94.36451702648606    0.600000   2.938367   10   2   14.487378   0.000000   CenterArea,   ##  CenterArea, 
24    180.33843875982492    95.1035524004909    180.33843875982492    95.1035524004909    0.584314   2.912245   10   4   15.984091   0.000000   CenterArea,   ##  CenterArea, 
25    181.40903912051968    96.18784558186236    181.40903912051968    96.18784558186236    0.721569   -3.007999   14   4   -4.810886   0.000000   CenterArea,   ##  CenterArea, 
26    182.19810128828453    97.56768269161466    182.19810128828453    97.56768269161466    0.588235   -2.977378   22   4   -6.565329   0.000000   CenterArea,   ##  CenterArea, 
27    182.62439646061142    99.16719336118607    182.62439646061142    99.16719336118607    0.470588   -3.141421   19   5   2.833655   0.000000   CenterArea,   ##  CenterArea, 
